COMM_CODE;SALES_CHANNEL;EVENT_KEY2  - BUNDLE_ID;RATE_MODEL;Rate Plan
GPRS_ACT;O2;244;Zero Partiva IVA Maxi New Giu14;Opz VF Sempre Smart Agenzie
GPRS_ACT;O2;208;Zero Partiva IVA Maxi New Giu14;Vodafone Outlook mobile Agenzie
GPRS_ACT;O2;173;Zero Partiva IVA Maxi New Giu14;Vodafone Mobile Broadband XL a Tempo Agenzie
GPRS_ACT;O2;183;Zero Partiva IVA Maxi New Giu14;"Vodafone Mobile BB XL a Tempo Int&amp;Tel Agenzie"
GPRS_ACT;O2;125;Zero Partiva IVA Maxi New Giu14;Vodafone Connect Me - agenzie 5 euro
GPRS_ACT;O2;122;Zero Partiva IVA Maxi New Giu14;Vodafone Connect 600 - agenzie 70 euro
GPRS_ACT;O2;123;Zero Partiva IVA Maxi New Giu14;Vodafone Connect 60 ore - agenzie 35 euro
GPRS_ACT;O2;119;Zero Partiva IVA Maxi New Giu14;Vodafone Connect 250 - agenzie 35 euro
GPRS_ACT;O2;167;Zero Partiva IVA Maxi New Giu14;Opzione Vodafone Mobile Broadband Large a Tempo Agenzie
GPRS_ACT;O2;168;Zero Partiva IVA Maxi New Giu14;Opzione Vodafone Mobile Broadband Large a Volume Agenzie
GPRS_ACT;O2;170;Zero Partiva IVA Maxi New Giu14;Opzione Vodafone Mobile Broadband Medium a Tempo Agenzie
GPRS_ACT;O2;171;Zero Partiva IVA Maxi New Giu14;Opzione Vodafone Mobile Broadband Medium a Volume Agenzie
GPRS_ACT;O2;174;Zero Partiva IVA Maxi New Giu14;Opzione Vodafone Mobile Broadband XL a Volume Agenzie
GPRS_ACT;O2;146;Zero Partiva IVA Maxi New Giu14;Opzione Vodafone Broadband Large a Tempo
GPRS_ACT;O2;143;Zero Partiva IVA Maxi New Giu14;Opzione Vodafone Broadband Large a Tempo Agenzie
GPRS_ACT;O2;131;Zero Partiva IVA Maxi New Giu14;Opzione Vodafone Broadband Large a Volume
GPRS_ACT;O2;152;Zero Partiva IVA Maxi New Giu14;Opzione Vodafone Broadband Large a Volume Agenzie
